Battle Scanner	戰鬥掃描器
Ecm Jammer Mark I	ECM 干擾器 I 型
Deep Space Scanner	深空掃描器
Battle Computer Mark II	戰鬥電腦 II 型
Ecm Jammer Mark II	ECM 干擾器 II 型
Improved Robotic Controls III	改良機器控制 III
Battle Computer Mark III	戰鬥電腦 III 型
Ecm Jammer Mark III	ECM 干擾器 III 型
Improved Space Scanner	改良太空掃描器
Battle Computer Mark IV	戰鬥電腦 IV 型
Ecm Jammer Mark IV	ECM 干擾器 IV 型
Improved Robotic Controls IV	改良機器控制 IV
Battle Computer Mark V	戰鬥電腦 V 型
Ecm Jammer Mark V	ECM 干擾器 V 型
Advanced Space Scanner	先進太空掃描器
Battle Computer Mark VI	戰鬥電腦 VI 型
Ecm Jammer Mark VI	ECM 干擾器 VI 型
Improved Robotic Controls V	改良機器控制 V
Battle Computer Mark VII	戰鬥電腦 VII 型
Ecm Jammer Mark VII	ECM 干擾器 VII 型
Hyperspace Communications	超空間通訊
Battle Computer Mark VIII	戰鬥電腦 VIII 型
Ecm Jammer Mark VIII	ECM 干擾器 VIII 型
Improved Robotic Controls VI	改良機器控制 VI
Battle Computer Mark IX	戰鬥電腦 IX 型
Ecm Jammer Mark IX	ECM 干擾器 IX 型
Battle Computer Mark X	戰鬥電腦 X 型
Oracle Interface	神諭介面
Ecm Jammer Mark X	ECM 干擾器 X 型
Improved Robotic Controls VII	改良機器控制 VII
Technology Nullifier	科技無效器
Battle Computer Mark XI	戰鬥電腦 XI 型
Reserve Fuel Tanks	備用燃料槽
Improved Industrial Tech 9	改良工業技術 9
Reduced Industrial Waste 80%	減廢工廠 80%
Improved Industrial Tech 8	改良工業技術 8
Duralloy Armor	硬合金裝甲
Battle Suits	戰鬥裝甲服
Improved Industrial Tech 7	改良工業技術 7
Automated Repair System	自動維修系統
Reduced Industrial Waste 60%	減廢工廠 60%
Zortium Armor	佐爾鋼裝甲
Improved Industrial Tech 6	改良工業技術 6
Improved Industrial Tech 5	改良工業技術 5
Armored Exoskeleton	裝甲外骨骼
Reduced Industrial Waste 40%	減廢工廠 40%
Andrium Armor	安準裝甲
