Reveals technical specifications of enemy spacecraft in combat.	在戰鬥中顯示敵方艦船的技術規格。
Adds 1 level to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +1 級。
Detects enemy ships up to 5 parsecs away from your colonies and 1 parsec away from your ships.	可偵測距離殖民地 5 秒差距、距離己方艦船 1 秒差距內的敵艦。
Increases weapon accuracy to level 2.	武器命中提升至 2 級。
Adds 2 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +2 級。
Allows up to three factories to be operated per population. The refit cost to upgrade to Robotic Controls III is half the standard cost of each factory.	每單位人口最多可操作三座工廠。升級至機器控制 III 的改裝費為每座工廠標準成本的一半。
Increases weapon accuracy to level 3.	武器命中提升至 3 級。
Adds 3 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +3 級。
Detects enemy ships up to 7 parsecs away from your colonies and 2 parsecs away from your ships. Enemy destinations and ETA can also be accurately determined.	可偵測距離殖民地 7 秒差距、距離己方艦船 2 秒差距內的敵艦,並可準確判讀敵艦的目的地與抵達時間。
Increases weapon accuracy to level 4.	武器命中提升至 4 級。
Adds 4 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +4 級。
Allows up to four factories to be operated per population. The refit cost to upgrade to Robotic Controls IV is the standard cost of each factory.	每單位人口最多可操作四座工廠。升級至機器控制 IV 的改裝費為每座工廠的標準成本。
Increases weapon accuracy to level 5.	武器命中提升至 5 級。
Adds 5 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +5 級。
Allows exploration of planets from colony bases up to 9 parsecs away and detects enemy ships up to 3 parsecs away from your ships.	可探索距離殖民地 9 秒差距內的行星,並偵測距離己方艦船 3 秒差距內的敵艦。
Increases weapon accuracy to level 6.	武器命中提升至 6 級。
Adds 6 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +6 級。
Allows up to five factories to be operated per population. The refit cost to upgrade to Robotic Controls V is one and a half times the standard cost of each factory.	每單位人口最多可操作五座工廠。升級至機器控制 V 的改裝費為每座工廠標準成本的 1.5 倍。
Increases weapon accuracy to level 7.	武器命中提升至 7 級。
Adds 7 levels to defense against enemy missile attacks..	對敵方飛彈攻擊的防禦 +7 級。
Allows you to communicate with ships and transports in hyperspace, and change their destinations while in route.	可與超空間中的艦船與運兵船通訊,並在航行途中變更其目的地。
Increases weapon accuracy to level 8.	武器命中提升至 8 級。
Adds 8 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +8 級。
Allows up to six factories to be operated per population. The refit cost to upgrade to Robotic Controls VI is twice the standard cost of each factory.	每單位人口最多可操作六座工廠。升級至機器控制 VI 的改裝費為每座工廠標準成本的 2 倍。
Increases weapon accuracy to level 9.	武器命中提升至 9 級。
Adds 9 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +9 級。
Increases weapon accuracy to level 10.	武器命中提升至 10 級。
Coordinates all beam weapon attacks into one simultaneous burst of concentrated fire, halving the enemy's shield strength.	將所有光束武器協同為一次同步的集中齊射,使敵方護盾強度減半。
Adds 10 levels to defense against enemy missile attacks.	對敵方飛彈攻擊的防禦 +10 級。
Allows up to seven factories to be operated per population. The refit cost to upgrade to Robotic Controls VII is 2.5 times the standard cost of each factory.	每單位人口最多可操作七座工廠。升級至機器控制 VII 的改裝費為每座工廠標準成本的 2.5 倍。
Scrambles enemy battle computers, reducing the level of the computers up to 2-6 levels each time the nullifier is fired. The weapon has a 4 space range.	擾亂敵方戰鬥電腦,每次發射可降低其電腦 2 至 6 級。射程 4 格。
Increases weapon accuracy to level 11.	武器命中提升至 11 級。
Extends the range of a ship by an additional 3 parsecs.	使艦船航程額外延伸 3 秒差距。
Reduces factory construction costs to 9 BC each.	將每座工廠的建造成本降至 9 BC。
Decreases factory pollution levels to 80% of the normal rate.	將工廠汙染量降至正常值的 80%。
Reduces factory construction costs to 8 BC each.	將每座工廠的建造成本降至 8 BC。
Increases the hit points of ships and transports by 50%. Personal combat armor is also enhanced, adding 5 to all ground attacks.	使艦船與運兵船的生命值提升 50%,並強化個人戰鬥裝甲,地面攻擊 +5。
Armor that not only protects but also boosts strength. Adds 10 to all ground combat rolls.	兼具防護與增力的裝甲,所有地面戰判定 +10。
Reduces factory construction costs to 7 BC each.	將每座工廠的建造成本降至 7 BC。
Undestroyed ships can repair up to 15% of their total hit points at the end of each turn.	未被擊毀的艦船可在每回合結束時修復至多 15% 的總生命值。
Decreases factory pollution levels to 60% of the normal rate.	將工廠汙染量降至正常值的 60%。
Increases the hit points of ships and transports by 100%. Personal combat armor is also enhanced, adding 10 to all ground attacks.	使艦船與運兵船的生命值提升 100%,並強化個人戰鬥裝甲,地面攻擊 +10。
Reduces factory construction costs to 6 BC each.	將每座工廠的建造成本降至 6 BC。
Reduces factory construction costs to 5 BC each.	將每座工廠的建造成本降至 5 BC。
Advanced mobile suits that not only boost power and increase defenses but also offer limited flight to ground troops. Adds 20 to all ground combat rolls.	先進的動力裝甲服,除提升攻防外還賦予地面部隊有限飛行能力。所有地面戰判定 +20。
Decreases factory pollution levels to 40% of the normal rate.	將工廠汙染量降至正常值的 40%。
Increases the hit points of ships and transports by 150%. Personal combat armor is also enhanced, adding 15 to all ground attacks.	使艦船與運兵船的生命值提升 150%,並強化個人戰鬥裝甲,地面攻擊 +15。
Reduces factory construction costs to 4 BC each.	將每座工廠的建造成本降至 4 BC。
Reduces factory construction costs to 3 BC each.	將每座工廠的建造成本降至 3 BC。
Increases the hit points of ships and transports by 200%. Personal combat armor is also enhanced, adding 20 to all ground attacks.	使艦船與運兵船的生命值提升 200%,並強化個人戰鬥裝甲,地面攻擊 +20。
Decreases factory pollution levels to 20% of the normal rate.	將工廠汙染量降至正常值的 20%。
Undestroyed ships can repair up to 30% of their total hit points at the end of each turn.	未被擊毀的艦船可在每回合結束時修復至多 30% 的總生命值。
Reduces factory construction costs to 2 BC each.	將每座工廠的建造成本降至 2 BC。
Combines high mobility, anti-grav flight, and heavy armored plating to form the most advanced armor available for ground troops. Adds 30 to all ground combat rolls.	結合高機動、反重力飛行與重裝甲板,是地面部隊現有最先進的裝甲。所有地面戰判定 +30。
Increases the hit points of ships and transports by 250%. Personal combat armor is also enhanced, adding 25 to all ground attacks.	使艦船與運兵船的生命值提升 250%,並強化個人戰鬥裝甲,地面攻擊 +25。
Factories cease to pollute.	工廠不再產生汙染。
Provides the best internal protection of any armor and increases the hit points of a ship by 300%. Personal combat armor is also enhanced, adding 30 to all ground attacks.	提供現有裝甲中最佳的內部防護,使艦船生命值提升 300%,並強化個人戰鬥裝甲,地面攻擊 +30。
Absorbs 1 point of damage from all attacks.	吸收所有攻擊 1 點傷害。
Absorbs 2 points of damage from all attacks.	吸收所有攻擊 2 點傷害。
Protects individual ground troops with a directional force field. Adds +10 to all ground combat battles.	以定向力場保護個別地面部隊。所有地面戰判定 +10。
Absorbs 3 points of damage from all attacks.	吸收所有攻擊 3 點傷害。
Absorbs 5 points of damage from attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面攻擊的 5 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 4 points of damage from all attacks.	吸收所有攻擊 4 點傷害。
Repels enemy ships back one space away from the attacking ship. The special weapon has a 1 space range.	將敵艦推離本艦一格。此特殊武器射程 1 格。
Absorbs 5 points of damage from all attacks.	吸收所有攻擊 5 點傷害。
Absorbs damage from all hand weapons. Adds 20 to all ground combat battles.	吸收所有手持武器的傷害。所有地面戰判定 +20。
Absorbs 10 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面所有攻擊的 10 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 6 points of damage from all attacks.	吸收所有攻擊 6 點傷害。
Renders ships nearly invisible until they attack. While cloaked ships receive a +5 to their missile and beam defenses.	使艦船在發動攻擊前近乎隱形。隱形期間,艦船的飛彈與光束防禦 +5。
Absorbs 7 points of damage from all attacks.	吸收所有攻擊 7 點傷害。
An energy field that destroys incoming missiles and torpedoes 75% of the time, -1% per technology level of the missile.	可摧毀來襲飛彈與魚雷的能量場,成功率 75%,每提高一級飛彈科技 -1%。
Absorbs 15 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.	吸收對行星表面所有攻擊的 15 點傷害,並可與飛彈基地的偏導護盾疊加。
Absorbs 9 points of damage from all attacks.	吸收所有攻擊 9 點傷害。
Freezes one group of enemy ships up to one space away, for one turn. Frozen ships cannot attack or be attacked.	將一格內的一組敵艦凍結一回合。被凍結的艦船無法攻擊,也無法被攻擊。
