Computers	Battle Scanner	Reveals technical specifications of enemy spacecraft in combat.
Computers	Ecm Jammer Mark I	Adds 1 level to defense against enemy missile attacks.
Computers	Deep Space Scanner	Detects enemy ships up to 5 parsecs away from your colonies and 1 parsec away from your ships.
Computers	Battle Computer Mark II	Increases weapon accuracy to level 2.
Computers	Ecm Jammer Mark II	Adds 2 levels to defense against enemy missile attacks.
Computers	Improved Robotic Controls III	Allows up to three factories to be operated per population. The refit cost to upgrade to Robotic Controls III is half the standard cost of each factory.
Computers	Battle Computer Mark III	Increases weapon accuracy to level 3.
Computers	Ecm Jammer Mark III	Adds 3 levels to defense against enemy missile attacks.
Computers	Improved Space Scanner	Detects enemy ships up to 7 parsecs away from your colonies and 2 parsecs away from your ships. Enemy destinations and ETA can also be accurately determined.
Computers	Battle Computer Mark IV	Increases weapon accuracy to level 4.
Computers	Ecm Jammer Mark IV	Adds 4 levels to defense against enemy missile attacks.
Computers	Improved Robotic Controls IV	Allows up to four factories to be operated per population. The refit cost to upgrade to Robotic Controls IV is the standard cost of each factory.
Computers	Battle Computer Mark V	Increases weapon accuracy to level 5.
Computers	Ecm Jammer Mark V	Adds 5 levels to defense against enemy missile attacks.
Computers	Advanced Space Scanner	Allows exploration of planets from colony bases up to 9 parsecs away and detects enemy ships up to 3 parsecs away from your ships.
Computers	Battle Computer Mark VI	Increases weapon accuracy to level 6.
Computers	Ecm Jammer Mark VI	Adds 6 levels to defense against enemy missile attacks.
Computers	Improved Robotic Controls V	Allows up to five factories to be operated per population. The refit cost to upgrade to Robotic Controls V is one and a half times the standard cost of each factory.
Computers	Battle Computer Mark VII	Increases weapon accuracy to level 7.
Computers	Ecm Jammer Mark VII	Adds 7 levels to defense against enemy missile attacks..
Computers	Hyperspace Communications	Allows you to communicate with ships and transports in hyperspace, and change their destinations while in route.
Computers	Battle Computer Mark VIII	Increases weapon accuracy to level 8.
Computers	Ecm Jammer Mark VIII	Adds 8 levels to defense against enemy missile attacks.
Computers	Improved Robotic Controls VI	Allows up to six factories to be operated per population. The refit cost to upgrade to Robotic Controls VI is twice the standard cost of each factory.
Computers	Battle Computer Mark IX	Increases weapon accuracy to level 9.
Computers	Ecm Jammer Mark IX	Adds 9 levels to defense against enemy missile attacks.
Computers	Battle Computer Mark X	Increases weapon accuracy to level 10.
Computers	Oracle Interface	Coordinates all beam weapon attacks into one simultaneous burst of concentrated fire, halving the enemy's shield strength.
Computers	Ecm Jammer Mark X	Adds 10 levels to defense against enemy missile attacks.
Computers	Improved Robotic Controls VII	Allows up to seven factories to be operated per population. The refit cost to upgrade to Robotic Controls VII is 2.5 times the standard cost of each factory.
Computers	Technology Nullifier	Scrambles enemy battle computers, reducing the level of the computers up to 2-6 levels each time the nullifier is fired. The weapon has a 4 space range.
Computers	Battle Computer Mark XI	Increases weapon accuracy to level 11.
Construction	Reserve Fuel Tanks	Extends the range of a ship by an additional 3 parsecs.
Construction	Improved Industrial Tech 9	Reduces factory construction costs to 9 BC each.
Construction	Reduced Industrial Waste 80%	Decreases factory pollution levels to 80% of the normal rate.
Construction	Improved Industrial Tech 8	Reduces factory construction costs to 8 BC each.
Construction	Duralloy Armor	Increases the hit points of ships and transports by 50%. Personal combat armor is also enhanced, adding 5 to all ground attacks.
Construction	Battle Suits	Armor that not only protects but also boosts strength. Adds 10 to all ground combat rolls.
Construction	Improved Industrial Tech 7	Reduces factory construction costs to 7 BC each.
Construction	Automated Repair System	Undestroyed ships can repair up to 15% of their total hit points at the end of each turn.
Construction	Reduced Industrial Waste 60%	Decreases factory pollution levels to 60% of the normal rate.
Construction	Zortium Armor	Increases the hit points of ships and transports by 100%. Personal combat armor is also enhanced, adding 10 to all ground attacks.
Construction	Improved Industrial Tech 6	Reduces factory construction costs to 6 BC each.
Construction	Improved Industrial Tech 5	Reduces factory construction costs to 5 BC each.
Construction	Armored Exoskeleton	Advanced mobile suits that not only boost power and increase defenses but also offer limited flight to ground troops. Adds 20 to all ground combat rolls.
Construction	Reduced Industrial Waste 40%	Decreases factory pollution levels to 40% of the normal rate.
Construction	Andrium Armor	Increases the hit points of ships and transports by 150%. Personal combat armor is also enhanced, adding 15 to all ground attacks.
Construction	Improved Industrial Tech 4	Reduces factory construction costs to 4 BC each.
Construction	Improved Industrial Tech 3	Reduces factory construction costs to 3 BC each.
Construction	Tritanium Armor	Increases the hit points of ships and transports by 200%. Personal combat armor is also enhanced, adding 20 to all ground attacks.
Construction	Reduced Industrial Waste 20%	Decreases factory pollution levels to 20% of the normal rate.
Construction	Advanced Damage Control	Undestroyed ships can repair up to 30% of their total hit points at the end of each turn.
Construction	Improved Industrial Tech 2	Reduces factory construction costs to 2 BC each.
Construction	Powered Armor	Combines high mobility, anti-grav flight, and heavy armored plating to form the most advanced armor available for ground troops. Adds 30 to all ground combat rolls.
Construction	Adamantium Armor	Increases the hit points of ships and transports by 250%. Personal combat armor is also enhanced, adding 25 to all ground attacks.
Construction	Industrial Waste Elimination	Factories cease to pollute.
Construction	Neutronium Armor	Provides the best internal protection of any armor and increases the hit points of a ship by 300%. Personal combat armor is also enhanced, adding 30 to all ground attacks.
Force Fields	Class I Deflector Shields	Absorbs 1 point of damage from all attacks.
Force Fields	Class II Deflector Shields	Absorbs 2 points of damage from all attacks.
Force Fields	Personal Deflector Shield	Protects individual ground troops with a directional force field. Adds +10 to all ground combat battles.
Force Fields	Class III Deflector Shields	Absorbs 3 points of damage from all attacks.
Force Fields	Class V Planetary Shield	Absorbs 5 points of damage from attacks against planet surfaces, and is cumulative with missile base deflector shields.
Force Fields	Class IV Deflector Shields	Absorbs 4 points of damage from all attacks.
Force Fields	Repulsor Beam	Repels enemy ships back one space away from the attacking ship. The special weapon has a 1 space range.
Force Fields	Class V Deflector Shields	Absorbs 5 points of damage from all attacks.
Force Fields	Personal Absorption Shield	Absorbs damage from all hand weapons. Adds 20 to all ground combat battles.
Force Fields	Class X Planetary Shield	Absorbs 10 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.
Force Fields	Class VI Deflector Shields	Absorbs 6 points of damage from all attacks.
Force Fields	Cloaking Device	Renders ships nearly invisible until they attack. While cloaked ships receive a +5 to their missile and beam defenses.
Force Fields	Class VII Deflector Shields	Absorbs 7 points of damage from all attacks.
Force Fields	Zyro Shield	An energy field that destroys incoming missiles and torpedoes 75% of the time, -1% per technology level of the missile.
Force Fields	Class XV Planetary Shield	Absorbs 15 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.
Force Fields	Class IX Deflector Shields	Absorbs 9 points of damage from all attacks.
Force Fields	Stasis Field	Freezes one group of enemy ships up to one space away, for one turn. Frozen ships cannot attack or be attacked.
Force Fields	Personal Barrier Shield	Completely encases the soldier in an nearly impenetrable force field. Adds +30 to all ground combat rolls.
Force Fields	Class XI Deflector Shields	Absorbs 11 points of damage from all attacks.
Force Fields	Class XX Planetary Shield	Absorbs 20 points of damage from all attacks against planet surfaces, and is cumulative with missile base deflector shields.
Force Fields	Black Hole Generator	Creates a sub-space field that warps normal space creating an instantaneous black hole, destroying 25%-100% of enemy ships, -2% per shield class.
Force Fields	Class XIII Deflector Shields	Absorbs 13 points of damage from all attacks.
Force Fields	Lightning Shield	An energy field that destroys incoming enemy missiles and torpedoes 100% of the time, -1% per technology level of the missile.
Force Fields	Class XV Deflector Shields	Absorbs 15 points of damage from all attacks.
Planetology	Ecological Restoration	Eliminates 2 units of industrial waste for a cost of 1 BC.
Planetology	Improved Terraforming +10	Increases the population capacity of planets by 10M for a cost of 5 BC per million.
Planetology	Controlled Barren Environment	Permits the colonization of barren planets.
Planetology	Improved Eco Restoration	Eliminates 3 units of industrial waste for a cost of 1 BC.
Planetology	Controlled Tundra Environment	Permits the colonization of tundra planets.
Planetology	Improved Terraforming +20	Increases the population capacity of planets by 20M for a cost of 5 BC per million.
Planetology	Controlled Dead Environment	Permits the colonization of dead planets.
Planetology	Death Spores	Horrible biological weapons capable of reducing the maximum planetary populations by 1 million per attack.
Planetology	Controlled Inferno Environment	Permits the colonization of inferno planets.
Planetology	Enhanced Eco Restoration	Eliminates 5 units of industrial waste for a cost of 1 BC.
Planetology	Improved Terraforming +30	Increases the population capacity of planets by 30M for a cost of 4 BC per million.
Planetology	Controlled Toxic Environment	Permits the colonization of toxic planets.
Planetology	Soil Enrichment	Converts standard planets to fertile enviroments, increasing population growth by 50% and raising the base planetary size by +25% for a one time cost of 150 BC.
Planetology	Bio Toxin Antidote	Reduces casualties taken from biological weapons by 1 million per attack.
Planetology	Controlled Radiated Environment	Permits the colonization of radiated planets.
Planetology	Improved Terraforming +40	Increases the population capacity of planets by 40M for a cost of 4 BC per million.
Planetology	Cloning	Allows bio engineered colonists to be grown at a rate of 1M per 10 BC.
Planetology	Atmospheric Terraforming	Converts hostile planets to standard minimal environments, normalizing population growth for a one time cost of 200 BC.
Planetology	Advanced Eco Restoration	Eliminates 10 units of industrial waste for a cost of 1 BC.
Planetology	Improved Terraforming +50	Increases the population capacity of planets by 50M for a cost of 3 BC per million.
Planetology	Doom Virus	Dreadful biological weapons capable of reducing planetary populations by 2 million per attack.
Planetology	Advanced Soil Enrichment	Converts standard and fertile planets to gaias, doubling the population growth and increasing the planet's base size by +50% for the one time cost of 300 BC.
Planetology	Improved Terraforming +60	Increases the population capacity of planets by 60M for a cost of 3 BC per million.
Planetology	Complete Eco Restoration	Eliminates 20 units of industrial waste for a cost of 1 BC.
Planetology	Universal Antidote	Reduces casualties taken from biological weapons by 2 million per attack.
Planetology	Improved Terraforming +80	Increases the population capacity of planets by 80M for a cost of 2 BC per million.
Planetology	Bio Terminator	Abominable biological weapons capable of reducing planetary populations by 3 million per attack.
Planetology	Advanced Cloning	Allows bio engineered colonists to be grown at a rate of 1M per 5 BC.
Planetology	Improved Terraforming +100	Increases the population capacity of planets by 100M for a cost of 2 BC per million.
Planetology	Complete Terraforming	Increases the population capacity of planets by 120M for a cost of 2 BC per million.
Propulsion	Retro Engines	Moves ships at warp one (1 parsecs per turn), and allows a maximum maneuverability of class I in combat.
Propulsion	Hydrogen Fuel Cells (Range 4)	Fuel reserves allow ships to move up to 4 parsecs away from colony planets.
Propulsion	Deuterium Fuel Cells (Range 5)	Fuel reserves allow ships to move up to 5 parsecs away from colony planets.
Propulsion	Nuclear Engines	Moves ships at warp two (2 parsecs per turn), and allows a maximum maneuverability of class II in combat.
